ID,Matière,Note,Credit
66dddcfd00267716f10e,Statistiques Descriptives,15,3
66dddcfd00267716f10e,Programmation Python,14,4
66dddcfd00267716f10e,Algèbre Linéaire,16,3
66dddcfd00267716f10e,Analyse de Données,13,4
66dddcfd00267716f10e,Systèmes d'Information,12,3
66dddcfd00267716f10e,Probabilités,17,3
66dddcfd00267716f10e,Base de Données,14,4
66dddcfd00267716f10e,Calcul Différentiel,11,2
66dddcfd00267716f10e,Intelligence Artificielle,15,4
5678,Statistiques Descriptives,13,3
5678,Programmation Python,17,4
5678,Algèbre Linéaire,12,3
5678,Analyse de Données,16,4
5678,Systèmes d'Information,14,3
5678,Probabilités,13,3
5678,Base de Données,15,4
5678,Calcul Différentiel,14,2
5678,Intelligence Artificielle,16,4
9012,Statistiques Descriptives,14,3
9012,Programmation Python,16,4
9012,Algèbre Linéaire,13,3
9012,Analyse de Données,17,4
9012,Systèmes d'Information,12,3
9012,Probabilités,15,3
9012,Base de Données,16,4
9012,Calcul Différentiel,13,2
9012,Intelligence Artificielle,17,4
3456,Statistiques Descriptives,12,3
3456,Programmation Python,15,4
3456,Algèbre Linéaire,14,3
3456,Analyse de Données,15,4
3456,Systèmes d'Information,13,3
3456,Probabilités,16,3
3456,Base de Données,12,4
3456,Calcul Différentiel,14,2
3456,Intelligence Artificielle,15,4
